"Date","Price","Open","High","Low","Vol.","Change %"
"May 18, 2020","7,725","7,400","7,800","7,375","1.33M","4.39%"
"May 19, 2020","7,850","7,775","7,950","7,775","1.37M","1.62%"
"May 20, 2020","7,675","7,850","7,850","7,625","952.90K","-2.23%"
"May 26, 2020","8,100","7,750","8,100","7,750","3.26M","5.54%"
"May 27, 2020","8,200","8,150","8,300","8,000","2.72M","1.23%"
"May 28, 2020","8,200","8,200","8,375","8,125","3.08M","0.00%"
"May 29, 2020","8,100","8,225","8,225","8,000","2.49M","-1.22%"
"Jun 02, 2020","8,475","8,250","8,500","8,200","3.98M","4.63%"
"Jun 03, 2020","8,825","8,500","8,825","8,475","4.26M","4.13%"
"Jun 04, 2020","8,925","8,875","9,175","8,825","5.69M","1.13%"
"Jun 05, 2020","8,925","9,000","9,050","8,725","6.49M","0.00%"
"Jun 08, 2020","8,600","8,900","8,900","8,400","9.30M","-3.64%"
"Jun 09, 2020","8,450","8,700","8,775","8,375","6.07M","-1.74%"
"Jun 10, 2020","7,925","8,450","8,500","7,900","5.60M","-6.21%"
"Jun 11, 2020","7,750","7,700","8,050","7,700","2.79M","-2.21%"
"Jun 12, 2020","7,825","7,725","7,825","7,325","3.08M","0.97%"
"Jun 15, 2020","7,575","7,900","8,025","7,550","2.17M","-3.19%"
"Jun 16, 2020","7,850","7,700","7,925","7,700","2.13M","3.63%"
"Jun 17, 2020","7,825","7,925","7,925","7,750","1.94M","-0.32%"
"Jun 18, 2020","7,750","7,825","7,900","7,750","1.66M","-0.96%"
"Jun 19, 2020","7,225","7,800","7,800","7,225","18.82M","-6.77%"
"Jun 22, 2020","7,475","7,400","7,525","7,300","10.10M","3.46%"
"Jun 23, 2020","7,400","7,500","7,575","7,400","3.28M","-1.00%"
"Jun 24, 2020","7,400","7,450","7,500","7,400","3.27M","0.00%"
"Jun 25, 2020","7,275","7,400","7,400","7,225","3.90M","-1.69%"
"Jun 26, 2020","7,250","7,400","7,400","7,200","2.88M","-0.34%"
"Jun 29, 2020","7,225","7,300","7,300","7,125","2.35M","-0.34%"
"Jun 30, 2020","7,100","7,325","7,325","7,100","4.57M","-1.73%"
"Jul 01, 2020","7,250","7,150","7,300","7,050","4.39M","2.11%"
"Jul 02, 2020","7,350","7,325","7,475","7,300","5.53M","1.38%"
"Jul 03, 2020","7,325","7,425","7,475","7,325","2.23M","-0.34%"
"Jul 06, 2020","7,425","7,400","7,450","7,325","1.96M","1.37%"
"Jul 07, 2020","7,425","7,500","7,600","7,400","2.51M","0.00%"
"Jul 08, 2020","7,475","7,450","7,475","7,350","3.04M","0.67%"
"Jul 09, 2020","7,700","7,525","7,875","7,475","10.39M","3.01%"
"Jul 10, 2020","7,450","7,550","7,700","7,425","4.02M","-3.25%"
"Jul 13, 2020","7,750","7,450","7,775","7,300","5.98M","4.03%"
"Jul 14, 2020","7,625","7,800","7,800","7,625","4.40M","-1.61%"
"Jul 15, 2020","7,675","7,725","7,775","7,675","2.25M","0.66%"
"Jul 16, 2020","7,675","7,700","7,725","7,625","1.98M","0.00%"
"Jul 17, 2020","7,850","7,750","8,100","7,650","9.90M","2.28%"
"Jul 20, 2020","7,675","8,000","8,000","7,675","3.07M","-2.23%"
"Jul 21, 2020","7,800","7,775","7,850","7,700","2.97M","1.63%"
"Jul 22, 2020","7,750","7,900","7,925","7,725","2.79M","-0.64%"
"Jul 23, 2020","7,900","7,800","8,075","7,750","5.52M","1.94%"
"Jul 24, 2020","7,675","7,900","7,900","7,650","3.68M","-2.85%"
"Jul 27, 2020","8,000","7,700","8,000","7,675","6.37M","4.23%"
"Jul 28, 2020","8,050","8,050","8,350","8,025","6.01M","0.63%"
"Jul 29, 2020","7,900","8,125","8,125","7,825","2.77M","-1.86%"
"Jul 30, 2020","7,900","7,900","7,950","7,800","3.45M","0.00%"
